,med_sentence
884,I'm currently off one of my meds and I'm changing to a different one once I see a psychiatrist which is happening next week.
885,"The only medication I'm on is for seizures, although I have some benzos on hand for when I have a panic attack."
886,"I expected that he'd prescribe me some prozac or paxil or something and I'd be on my way, but he evidently thinks that I'm suffering from psychosis and recommended anti-psych meds, but I'm skeptical of this."
887,My pdoc seems super confident that I need anti-psych meds and that I will decompensate without them.
888,I've decided I don't want to go on meds (why would I if I don't trust his diagnosis?).
889,"**TL;DR**

My pdoc thinks I'm psychotic and need anti-psych meds."
890,My meds hardly work anymore and I just want it all to stop.
891,It's been a long time problem of mine and I used to take some anti-anxiety meds that had a light sedative in them before bed but ended up changing meds many years ago and the sleep problems came back.
892,Last night I was in the ER because I was having chest pain(turned out to be bad heartburn) and they told me not to take my meds since I was throwing up anyways.
893,"It'd have to be caused by drugs/meds or something, I think."
894,"Like the meds make the sounds.. transparent, but the people are still there, floating."
895,Soon i found out that she had been diagnosed with anxiety and had been given medication that she claimed made her feel worse.
896,Pain medications do not work at all.
897,I can tell because they are happy to discharge me on Friday without giving me any medication or indication of what is going on or why this has happened to me.
898,My medication makes me feel restricted even at such a low dose.
899,"He's seeking treatment, taking medications, and trying to make his life as stable as possible."
900,I am now symptom-free clear-headed but still on medication (Abilify).
901,"But I do have one big problem that I can't get over and that's pretty bad memory loss, I'd say it's gone from mild to moderate pretty fast (a few months) I'm not sure if this is related to schizophrenia, meds or some other health problem (definitely not aging because I'm not old enough for dementia)."
902,I don't trust the medicine because people say I don't need it.
903,"it said something to the effect of schizophrenia being like the word cancer in medicine, its not just a diagnosis but also a sentence."
904,You can have all the meds and psychologists your life can hold.
905,I suffer daily with the voices...I am on medication it does help with the other issues but the voices are always their...My father gave me an adderoll he is also schitzophrentic he said they do wonders for him.....I took it and it made me feel amazing the voices shut up and my frame of mind was great....I asked my doctor if she would give them to me I told her how they helped so much she said NO!!
906,I stopped taking meds by myself because my doctor was on holiday.
907,"I talked to my mom, she is a mental health nurse, and she said that it's totally up to me if I take the medication or not."
908,But the medication made me feel so bad.
909,I want to be able to take care of my body and with my medication I couldn't even get out of bed.
910,"I was diagnosed as schizophrenic a few weeks ago, for the past two years doctors refused to diagnose me and just kept me zonked on antipsychotics (seroquel) but im seeing a new doctor and he finally diagnosed me, he took me off all of my meds besides my antidepressants so he can see what im like with no meds."
911,"I told my dad, and he was mad at me and told me to go to sleep and thought I wanted attention and/or meds."
912,I want so much to be off medication but that will never be and I'm growing to accept it but it's still hard.
913,hopping back on the meds now :\
914,Did meds make a difference?
915,"I was supposed to go in Friday for another injection of my medication(Abilify), but I rescheduled for Monday, and I rescheduled again today for Wednesday.. so that's going to be 5 days without medication.. and I was already symptomatic."
916,So I decided to punish myself for that and just try to survive a month without meds.
917,"""Sorry, I was a dumbass and lost my meds and for that I've caused you financial loss?"""
918,Does anyone else get incredibly restless on their meds?
919,"So anyway, about 6 years ago when I saw my latest psychiatrist he told me that after five years I could stop taking my meds."
920,"I thought that when I would stop taking my meds, I wouldn't tell the canadia immigration officers about it."
921,"Well what ended up happening is that 5 years later (at the start of this year), I had a psychotic episode because I had stopped my meds."
922,Now I am back on meds.
923,"To the best of my knowledge he was taking his medication steady for at least a month, maybe two."
924,I think the medication helped with the auditory hallucinations but he was beyond paranoid still.
925,"Several occasions he stops taking his medication and he will sit there for hours smoking cigarettes left and right constantly putting his hand through his hair and is still just as paranoid as when he was on medication, just  isn't so visibly to me effected by it."
926,It is to the point now where I beg him to take his medication and he yells at me saying the medication isn't going to help him.
927,"I try to explain to him that medication can take a very long time to get adjusted in the system, maybe even a year(not sure if true, but for my bipolar medications I've been told this before so I'm just trying to help)

He is really bad at communicating what he is experiencing one because its so unbelievable and second he claims sometimes if he explains exactly whats happening to him he will die."
928,"I think the most they did medication wise for him in the last few months was up the dosage by a little bit and say ""he needs to be on it longer""

Now how the heck can I help?"
929,"I have been off my meds for awhile now because I didnt like what they did to me, and I feel like I can just tell myself that the things I hear and see arent real."
930,I try my hardest to keep up with things but I feel like some sort of medication could help me do a lot better
931,"I went the past few days without meds at home as I forgot to bring them with me, then last night I looked at the moon and thought ""I must be a werewolf."""
932,Am back on meds tonight so hopefully this won't get out of hand.
933,"How did you handle it (aside from going back on meds, which will probably happen eventually)?"
934,"A large part of my illness is delusions however; my medications are poisoned, snipers are trying to kill me, the government has a plot to kill me... stuff like that."
935,I am currently afraid to take medications so I rely heavily on coping skills to get me through day to day activities.
936,Obviously the best way to deal with all that is listed below is to remain on medication and talk to a doctor but sometimes you need to mix both.
937,"If you can get a great support system under you belt, great therapist, trust medication, and have a routine and a team to help you then this will help develop your own personal coping skills for any problem."
938,"Have people ""escaped"" symptoms without meds?"
939,I spend $15/medicine.
940,The problem is that both Olanzapine and Quetiapine have heavy side-effects for him and Clozapine is the only medication he really took well up to now.
941,I'm on meds but still I don't feel anything.
942,She says her meds have subsided the voices and rarely hears them now for the past 5 months.
943,Do you take medication?
944,I was wondering if anyone is or was on that medication and if you had any problems with it.
945,I feel as though I'm a psychopath I don't feel love or any emotion anymore maybe it's the meds the doctor has me on I can't seem to put a finger on it.
946,"On top of the stress, I kept forgetting to take my medicine (Geodone,) because my alarm would go off while I was working, so this day I took it early."
947,"I quit the next day after coming home, freaking out, then taking stress-relief medicine that I hadn't taken in months."
948,"Doing some research for university, came across using psycho-education as a form of medication adherence for people taking neuroleptics or, sufferers of schizophrenia."
949,"I was wondering, for those of you who have been diagnosed, how much do you have to spend on medication, say on a monthly basis?"
950,My psychiatrist has not been practicing very long and all the work she has done for the VA has been mainly focused on PTSD so she has reffered me to her boss who is in charge of the VA mental health department so we can get me started on medication.
951,What kind of questions and concerns do I need to talk with my new psychiatrist about since I'll be starting meds?
952,This will be my first time on medication so I am very new to this.
953,"He didn't want to talk much about the last 6 months since its too painful for him, and said he's on pretty strong meds at the moment so most of the time he's a zombie."
954,So until recently my psychiatrist only seemed to prescribe medication as a treatment.
955,"Recently, he informed my parents that medication won't help much in my case, and that I need training, work, and living independently, and that he will work on providing all these via mental illness help programs."
956,I was not prescribed any medication and I am stuck sucking it up.
957,i didn't even want to take medication bc I felt like my dad or family would judge me and that there would be so much shame in it and I didn't want to be like my mom.
958,"I ended up abandoning my medicine so I could ""wake up"" and I discovered a disgust for my overweight body."
959,Has anyone else had weight issues due to medicine?
960,"I started this medication not too long ago now because my psych thought it would be good since I was having ""symptoms"" of a pre psychotic break."
961,I guess I can't come off of meds.
962,"The meds help with the psychosis, but there's so many aspects of my life they don't help with."
963,"In her case she heard loud voices in her head, usually around the evening and was on heavy medication."
964,"On those moments I stop taking the medication and start to become extremely paranoid, that's when it comes to me that it is actually real."
965,The mainline medication is Abilify 10mg daily now.
966,Mental disease medication is tailored like most others.
967,"What type of medication is usually prescribed, and does it have negative side effects?"
968,"If my friend does not take his ADHD medication, it's very obvious."
969,"Hi, I've been on a few meds over the years and I've always struggled with the side effects."
970,"Now I'm sure some are going to tell me to just take my meds, I know, but my question is has anyone else struggled with not wanting the side effect of the meds or wanting to live a med-free life?"
971,And is medication the only solution?
972,"For the past 2 montgs I stopped taking my meds, because there were too many side effects, and my insurance woupdnt let me see the psychiatrist more than once every 2 months so we couldnt tweak it."
973,I am not any medications daily to treat my depression or my anxiety.
974,Was okay for the past 2 months on new meds but something is out there again.
975,"A lot of you seem to know a lot about psychiatric medications, have you ever heard this?"
976,"I've had a schizophrenia episode starting at ~13, that grew along with family problems I had at the time, and took medicine (mostly Risperdal) until almost 16 and hallucinations stopped."
977,I'm not on medication at the moment.
978,"I don't take medication, which I should, but medication scares me too."
979,"I'm terrified of taking medication because I don't want it to ""change me."""
980,I keep telling myself that if I develop psychosis that I'll be put into a hospital and get a few weeks off work and take some medicine to chill me out and that it won't be that bad.
981,"I have been diagnosed with paranoid schizophrenia a short while ago, before I was on medicine I used to smoke weed every so often."
982,"The medicine really helps, all of my hallucinations feels like they are really far away from me and it doesn't scare me when i don't do what they say."
983,"Anyway, my question is: what could happen if I smoke while on my medicine, should I skip my meds for a day if I smoke, or should I stay away from weed altogether?"
984,I don't want to be on meds anymore.
985,"I get paranoid in public, I hate the medication, have tried Risperdal, Abilify, (which made me very very sleepy) and seroquel, which just sedated me to no other."
986,Even if they are completely stable and basically symptom free on medication.
987,"My Doctor suggested that the decline in working memory might come from depression but with the antidepressant medication I feel less depressed than a year ago, actually I feel pretty good."
988,"2) If I do get to the point where I develop schizophrenia and have to take antipsychotic medication, is there any way for me to continue my studies as an engineer, and to then go on working in the industry?"
989,"I'm on meds, but recently had a bout of psychosis due to an interruption."
990,"His brother obviously needs medication and help, and my friend and his mom should not have to live in such a hostile, dangerous environment."
991,He told me he does not have much interest in talking to a professional and does not want to take medicine.
992,The medication turned me into an emotionless zombie and I refused to take it anymore.
993,I have been off meds since I was 18 and for the most part I have been highly functional.
994,I just discovered that almost every doctor in the states(and abroad without adoubt) is paid off by pharmaceutical companies to prescribe their medicine.
995,dont trust psychiatrists who seem to stick with the same meds in the prescence of new/changed symptoms.
996,"I had previously mentioned Buspirone, an anti-anxiety medication that didn't work for me, it amplified an overwhelming and negative urge to commit suicide."
997,"Now that I take medication, I have no symptoms of either schizophrenia nor bipolar disorder."
998,She hated her injections and as soon as they let her start taking her own medication in pill form she immediately stopped taking it.
999,Around Christmas her parents started to notice something was up with her and of course i can't FORCE someone to take medication.
1000,While she was in the hospital they started her on a new medication and she seemed to feel a lot better on this new drug.
1001,When she was released she only took the medication for a couple days and stopped.
1002,"I saw her going downhill fast, she has problems speaking when she doesn't take medication and you can tell it's very frustrating to her that she can't form her thoughts correctly."
1003,She's not the woman I fell in love with and it breaks my heart that she would do this and not care enough about her future and me to take her medication.
1004,"When shes on meds shes happy, she can think and speak, we don't fight, everything is good but she says she ""hates"" how it makes her feel."
1005,I'm concerned I'm taking too much medication but my psyciatric nurse keeps telling me that I'm on a low dose of medication and not to worry about it so much.
1006,I kind of feel like she is fobbing me off and making excuses because she doesn't want me to stop taking my medication but they have such a negative effect on me I'd rather stop.
1007,I responded well to medication and was able to return to college after having been homeless for a couple days.
1008,I'm convinced the big pharam is very happy with patients having to take their medicine for life and wouldn't want them to be actually cured for good.
1009,"So, I've been off my medication for a month or so now and some shit happened that really got to me, needless to say I can feel pretty depressed (even though I can't feel anything, I just know I feel like complete shit), I can't think, like all my thoughts are fuzzy, I don't know."
1010,"I also suffer from schizophrenia/schizoaffective disorder, but I'd like to advocate for it and share my story, to help those who are suffering know that you can still live an awesome life on the right meds!"
1011,"Exercise is shown to improve symptoms of schizophrenia, it also helps with the brain shrinkage effect of anti psychotic medication."
1012,If medication is bombing you out too much speak to your doctor about changing medications or reducing the dosage.
1013,I can't get my medicine this week.
1014,"I'm wondering; because, I thought my most recent meds took all my symptoms away."
1015,"However, my psychologist politely informed that I needed to try and find meds that work better."
1016,"I think they are planning to put me on clozaril ,since I am medication resistant and have frequent suicidal episodes, so anyone here been able to get rid of all or most of their symptoms?"
1017,I went to the doctors office and apparently the pharmacy didn't fill out some form and didn't send the medication.
1018,":/

It's the best medication for me."
1019,"I don't feel like I'm on medication at all because it doesn't make me tired, gain weight, and I don't have to take a pill every day."
1020,"So, I guess I've been 2 days without meds."
1021,My doctor didn't give me any other medication in place of the Abilify.. so I'm just without anything.
1022,How to get my psychiatrist to think seriously of ADHD and prescribe me medication for it without him attributing all these symptoms to the anti-psychotics I'm taking or my illness itself?
1023,"I really want to perform on a level which is adequate for my mental capacity, and seeking medication for this condition is the best thing I could do to achieve this."
1024,I'm on meds.
1025,"At my last doctor's appointment before I retired from the Marine Corps we discussed tapering down on my medications (Trazodone, Zyprexa, Adderall, Nexium, propanolol, ambien)

I stopped taking my Zyprexa completely for a week."
1026,I'm also not sure if what happened was the actual underlying problem or just the withdrawals from the medication.
1027,"Ive been in mental hospitals for multiple suicide attempts and self harm, ive been on quite a few meds, some im still on."
1028,I keep urging him to go to a private doctor who can better tailor his medication to suit his needs but he insists that people will find out and he doesn't need it anyway.
1029,I want to get back on medication but I feel like it is poisoning me.
1030,"I don't hear physical voices, but until I got on meds I had non stop thoughts that I thought were coming from invisible beings near me, different from standard intrusive thoughts."
1031,"Five, almost six years ago I was diagnosed with a psychotic disorder and began psychiatric medication."
1032,"That the medication you started taking that coincided with the onset of lacking passion was supposed to help, even if just a little bit."
1033,"If there was one thing that the medicine did do, it was to make me apathetic."
1034,"I attributed, whether correctly or incorrectly the insomnia to the medication and I cut my dose significantly, even switching medications."
1035,There are almost no studies that followed patients that had refused medication long term.
1036,Animal studies eventually indicated that the loss in volume previously attributed to schizophrenia might very well be caused by medication.
1037,"Knowing that the medication causes very noticeable changes in several areas of the brain, how do you whether to attribute changes in cognitiion to the illness or to a “side effect” of the medication?"
1038,"Put another way, to a lay person it seems like most of what we know about schizophrenia may have been confounded by the medication."
1039,The papers still being published about the “neuro-protective” nature of the medication have interesting things in the disclosures section.
1040,"My passion has not returned, so I do not know which of the following is true:

It was a side effect of the medication, and if given more time will return."
1041,"It is permanent damage from the medication, and will not return."
1042,"The medication simply made me not care, but knowing that it would not get better would cause me to not want to deal with the terrible side effects the drugs have to be worth having that apathy."
1043,"I was diagnosed with ADHD-PI (ADHD without hyperactivity), but never put on medication until recently."
1044,Before medication a few hours -- and if its severe I'd just lay in bed throughout the day.
1045,The reason I ask is that I currently do this - for putting meds in daily pillbox chambers.
1046,"I only refer it to ""progress"" is because as soon as he is released and back with my mom and I, he stops taking his medicine eventually."
1047,"His last doctor told us that his medicine did have side effects (loss of appetite, drowsiness, his leg would shake uncontrollably), but she also mentioned that going off the medicine would mess with his brain even more."
1048,I had heard in the past that he had been using various drugs and unless fed his medication he wouldn't take it.
1049,I also see shadows when I'm off of my medication.
1050,He is a long term user of anti psychotic drugs and though his psychiatrist has recently changed his medication to hopefully mitigate this he knows that the nerve damage may well be permanent.
1051,"My family has been trying to get my mother who is a paranoid schizophrenic on meds for over a decade and on government assistance, but she fights everyone who tries to help her."
1052,"Or even better, how can I get my mom on meds if she won't even admit to being ill?"
1053,"But then he was diagnosed with paranoid schizophrenia and the medication he was on was good for about 5 years, but then it stopped working."
1054,"My meds got increased, and now they're gone, and I feel kinda empty."
1055,I don't want to be on meds.
1056,For two years I dealt with voices without any meds.
1057,"This sucks, as you know, because these meds make you crave food."
1058,"Got the meds back, seeing a new therapist and psychiatrist asap."
1059,I fucking HATED taking that medicine but it allowed me to function.
1060,And my failure to admit something was wrong with the way I thought was also why I thought I could stop taking my medicine.
1061,"I remembered talking about my medicine choices with the nurse and the psychiatrist told her she didn't want him on a mood stabilizer, she wanted me on an antipsychotic."
1062,"But I think as long as I take this medicine, no more audible voices will come out of it."
1063,I have before when not on meds.
1064,For some reason the same thing when it happens off medication is the start of some journey into insanity.
1065,But not when I take my meds.
1066,Will the medication ever give up one me.
1067,"I basically had my dad back, as long as he took his meds."
1068,"He started to skip his meds, and it is important to mention that he is a paranoid schizophrenic."
1069,We tried everyday to get him back to his meds or to see a doctor and that we love him and want him to be healthy... but it was no use.
1070,He's off an on with taking any medications (right now he's off) and it is painfully obvious to everyone when he's off them.
1071,"I've asked him before why he doesn't take his meds, and he says they make him cloudy, groggy, etc."
1072,So I ask him why he hasn't gone to his psychiatrist to get a new medication or change the dosage.
1073,"I'm not sure what type she has, but she's been to the doctor/therapist and received medicine for it."
1074,"She is still on medicine, and you can definitely tell when it works (and when she's actually taking it)."
1075,Then I believe she saw a therapist and got medicine.
1076,"He takes no medications, he just learned to recognize when it would start to ""speak up""."
1077,I know he hasn't taken medicine in ~6 months.
1078,I am now on medication and i have a scheduled appointment with a psychiatrist.
1079,I don't know if I want to take the medication and since the doctor I've just literally felt a lot worse.
1080,as a family  At some point her medication changed and so did she.
1081,"Again, her medication was altered."
1082,"She went to therapy and tried a lot of meds, but I knew she wasn't seeing anyone presently and was not medicating with anything other than marijuana."
1083,"However, I suffer from bouts of severe suicidal depression even when being compliant when the meds."
1084,"I want to stop my medications, but it doesn't matter I ran out of my medications."
1085,I'm afraid to leave the house to pick up the medications.
1086,He’s been on just about every medication imaginable.
1087,"It was chalked up to be from all the medications he was on, so they quickly changed medications."
1088,"As far as I know, once the medications were changed the voices and the misinterpreting decreased."
1089,Do you ever have episodes even with medication?
1090,What medication has helped you the most?
1091,"My grandmother drives to make sure my aunt takes her medicine, she picks up the rx from the pharmacy, takes her grocery shopping, and helps her run errands."
1092,I cut back on my medication to 1/4 of the normal dose.
1093,I'm doing SO much better than on a full dose of medication and antidepressants.
1094,"I suppose I should start taking my meds again... but, on my meds I feel nothing but a void."
1095,"then she stopped taking meds, because she doesnt trust doctors."
1096,He's been taking meds for years but I'm not seeing any improvement in his health at all.
1097,Been getting shots of meds once a month.
1098,"I've talked to my psychiatrist about this, but his ""solution"" was to up my meds to help control the squatters, and I already hate being on the meds in the first place, and they don't really help in the first place."
1099,"In Chinese medicine the spleen is responsible for worry and excessive thoughts, it is considered one of the most important organs."
1100,Does it work worse or not at all on medication?
1101,Put on antipsychotic medication which reduced my positive symptoms by 100%.
1102,I have 2 weeks worth of medication but after that I'm out.
1103,Well I've been hearing voices since last year and I've been to a psychiatrist and the meds he prescribed helped.
1104,He doesn't have his medication with him.
1105,"I am able to get myself out of deeper ruts without medication, but was always to scared to bring up hallucinations and my severing from reality from time to time."
1106,"When she's returned, the mother has stopped taking her medication."
1107,"What kinds of medication have you found to be the most effective in at least quieting the voices, if not stopping them?"
1108,Have you ever stopped taking your medication?
1109,I don't know if it's a side effect of medication or a symptom...
1110,I've been on various medications and have tried group therapy but none of it seems to help much.
1111,"I don't want to go off my meds, I don't want to do anything bad, except cut myself, but I wont, because I don't want to go back to that place."
1112,"One thing I've noticed though whenever I was talking with the social assistant from the government is how she mentioned medication all the time, like asking me if I had been given medication for my symptoms in the past, asking about other (non-psychiatric) medication, and so on."
1113,It's not exactly a situation where I'd think that medication would be necessary.
1114,"But now I'm kinda fearing that I'll get medication forced upon me and I'm kinda scared of that, mostly due to the well-known side effects."
1115,"I am the one who gives her medication, makes sure she eats and I make sure sharp objects are out of her reach so I know she can not do anything that way... but there are of course so many other ways that I can not prevent."
1116,"He might say: ""Well I take my medication regularly and have been for 20 years."
1117,I'm terrified of antipsychotic medication because of a terrible experience I had with Haldol.
1118,"If I refuse this medication, and I am schizophrenic, will I get worse?"
1119,"And I do know that you're always supposed to take medication if your doctor says to, but I feel like I haven't been sick enough yet to know if I really am schizophrenic, even though I do meet onset criteria, and paranoid schizophrenia criteria...

Help please?"
1120,Because of bad experience with my most recent medication I've attacked him 3 times; he left.
1121,"I've tried so, so many different medicine."
1122,The medicine either aggravates the symptoms or does nothing whilst side effects run havoc on my body.
1123,I've tried medicine.
1124,"I'm getting more ill with the day, and I've read many horror stories here that people who don't use meds end up either dead, in jail, or lose themselves."
1125,"I've lost most of my education (I was a very smart/good student), I've gained about 85-90 pounds in a fucking year from this medication and I don't even eat a lot, I eat normally."
1126,"I've recently become stable on medication, and I keep reliving moments of the past year and a half when I thought my delusions and hallucinations were real.....it feels like PTSD."
1127,I read it can be a side effect to some medicine and it started when she started taking the medicine so I'm pretty sure it's the medicine.I don't see the problem but she is freaked out.
1128,So the question is besides stopping or changing meds is there anything she can do to going back to her normal cycle.
1129,My doctors have decided to keep me on my medication for four more months to see what's wrong with me but I can't cope like this it's torture.
1130,"She was fine until then but suddenly, she started refusing her medication so that's why that thing happened."
1131,And I gotta mention that all these month she has had an epsiode every month because she's still refusing to take her meds in time and her episodes are getting worse and worse).
1132,"so I think their psychic ressonance might be healing mental problems without meds or treatment because it gives psi to mentally ill, which is a lack of psyche if you think about it."
1133,My parents constantly remind me that it's bad for me to smoke my prescribed medications.
1134,"have you guys ever felt that desperation you know the one where you are the only person in the world that can truly understand you and your experiences, how everyone always peers inside the room that is you and takes small pieces of information out of that room and compares it to their experiences, kind of like comparing an apple to an orange and they completely misunderstand the point you are trying to make, for example while you read this you will project your own ideas into this because that's the only way people seem to understand things, that desperation then becomes depression, and its like oil to a flame, and everything just goes to shit delusions rise, hallucinations worsen, the placebo of the sanctuary ( medication) no longer works unless its in high doses you know what i mean( kind of like when you drink alcohol and one beer is not enough so you end up drinking and drinking until you go numb and forget who you are but you never truly forget who you are its always there like your shadow just waiting for you to notice it), soon after nothing seems real, you know its a dream and you lose the will to go on, you make excuses and argue with yourself about meaning."
1135,"I can't hear them anymore, meds are functioning properly to rid me of the suffering, screaming, whispering voices."
1136,"I go straight to thinking, ""of course the medication is working, it's not meds for schizophrenia, that's what they'd have me believe, but it's really to block my inter-dimentional listening abilities."""
1137,None of the people working with him can suggest any meds that will work.
1138,"As well as agreeing that in general it just makes him worse, regardless of medication or how he's treated."
1139,"He's very small (4'9) and underweight, has a terrible immune system and seems to react badly to any meds that he's given, at the moment he can't even take meds, eat or drink without feeling sick."
1140,"I feel like I’m getting more and more frantic about him, and that a lot of our interactions now center around my trying to get him to take medication and quit the damn weed."
1141,Should I keep bringing up the medication or just let it drop?
1142,"What I'm wondering is: Do they put you on medication without diagnosing you, or do you have to be diagnosed with schizophrenia in order to be given medication?"
1143,"I don't care if I'm officially diagnosed as a schizophrenic or not, I just want to be put on the medication as soon as possible."
1144,"Hi all, I'm a multiple-times diagnosed schizophrenic who is considering going through a few months of non-FDA approved medication and inpatient care."
1145,"Hi everyone, I have been diagnosed with paranoid schizophrenia and taking anti-psychotic medicine daily for it."
1146,"While I am not psychotic right now, everything feels under control and I intend to take my anti-psychotic medication for life, I still feel there should be some kind of mention in my OkCupid profile about this, however, I do not know if I should outright say I've been diagnosed with paranoid schizophrenia or if there is a more vague yet equally effective umbrella term for someone like me."
1147,Do you take any other meds on top of it?
1148,I feel like I want to switch meds.
1149,I've been on the same medications for 5 years and they've kept me stable for most of this time.
1150,"I know, I know, talk to my doctor before going off the meds."
1151,I'm so fat and ugly and the meds made it worse and now my mom hates me.
1152,i'll be on meds forever.
1153,"She told me she went of her meds, I told her thats the dumbest fucking thing ive ever heard and she explained that she can keep it together and its all about concentration."
1154,"He isn't taking any medication, no therapy, no assistance."
1155,I believe he needs some meds and assistance.
1156,"His mother is no help, probably the opposite of help, since she doesn't believe in medication."
1157,I think he needs a social worker to help get benefits and a good doctor to find the medication that is going to help him the most.
1158,"Anyway; I'm married to a 24 year old diagnosed schizophrenic, whom is on medication, and doing well considering how hard life can be."
1159,"I'm currently off my meds and I function perfectly fine but the moment I make a call to them, afterwards my thoughts start going erratic."
1160,Does anyone have any personal experience with taking alternative medicines for schizophrenia?
1161,"It has been a long time since I have read up on Orthomolecular medicine, so I am not familiar with what exactly it is (sorry, bad OP) other than using a more nutritional approach to battle such illnesses or diseases."
1162,"Until last week she ran out of her medication, decided she felt better for it and now is refusing to take it (the doctor would also only give her a month perscription this time instead of three so we think he's concerned about ODing)

It's been about 2 weeks since she last took it, and she's been acting very strangely."
1163,2) If she continues to refuse her meds should he call her doctor?
1164,"For those diagnosed with schizophrenia or other forms of psychosis, does one usually have to take their medications for their entire life?"
1165,"Or is there a rule in psychiatry that, after x psychosis-free years one can discontinue medication?"
1166,"The reason why I'm asking is that most anti-psychotic medications have been proven to cause diabetes, increased risk of heart attack, etc., and I don't want to take additional risks."
1167,So how soon can one usually discontinue one's medication WITH doctor's approval?
1168,I have since seen interviews where Greenberg is adamant that she has never taken medication and believes that most schizophrenics could live stable lives if they participated in years of intensive therapy as she did.
1169,There is a strong stigma about taking psychoactive medication that prevents people from talking about it.
1170,"There is a myth, or partial truth, that anti-psychotic medication turns people in to zombies, or, more realistically drain a person of motivation and energy."
1171,"I would not have sought treatment, therapy, or medication until my parents threatened to kick me out of their house."
1172,"I was eventually on a regimen with anti-psychotic, stimulant, and anti-anxiety medications."
1173,About a month after I started taking the medication I had a memory of child sexual abuse and recalled the rape I experienced in college.
1174,I took the medication regularly for six months in the first half of 2012.
1175,"Now I'm reading up on the side effects of this medication, which I really shouldn't be doing."
1176,"If anyone can tell me what this medication is like and their experiences with it, that'd help."
1177,"Also I'm not completely sure that it is this medication, I forgot the name of the medication and had to look up a list of every anti psychotic, and I looked through it looking for one to jump start my memory, and I think that it may have been this one, it began with an Ap, and the doctor said it's a very gentle anti psychotic and it's supposed to cause restlessness quite often."
1178,"I am currently at ruby Tuesdays and I am paranoid, Ps I took my meds and ruby Tuesdays is a restaurant"
1179,"For myself, I experience minor memory problems that my doctor says may be due to my illness or the medication."
1180,Life seems so... 2-D compared to when I was under-medicated/off medication.
1181,I'm extremely hesitant to take the medicine prescribed.
1182,"Also, have you found any relief from anything outside of medicine or while off of medicine?"
1183,"I feel like life is not worth living because all i will do for the rest of my life is wake up, go to work, come home, go to bed and take meds."
1184,"He's fine at home and we understand that very few people with his condition stick to their meds, however, he has become violent towards our father."
1185,"During his psychotic episode during that month, he was hospitalized at 4 different mental hospitals, tried 3 different meds (Zyprexa 30 mg for 3 weeks, Risperdol for 2 days, Haldol for 2 days - this helped a bit but gave him bad restless legs so he stopped and his psychosis rebounded)."
1186,He’s going to ask the doctor to change medicine.
1187,I'm scared that I won't be able to afford my meds without it.
1188,I'd have to go off my current medications and just take what they give me for I'm not sure how long.
1189,"A friend of mine is on this medication at the moment, a combination of Zyprexa and Tranquilex, are any of you on the same?"
1190,He'd been on some medication in the psych ward that he said was an antidepressant.
1191,"I don't feel like he'd be open to treatment, assuming it's just going to put him on medication to make him ""not himself"" (I hear him arguing already)."
1192,I have been telling people for the last couple years that I am medication free.
1193,I now feel very bad that I led others to believe that it is possible to be schizophrenic without medications.
1194,"i have not started any meds yet, i asked my doctor if i could do my own research on what i thought would help me the most and she seemed open to it."
1195,"I regularly take my medication, been doing so for over 5 years, but while they work (kinda, for the most part), I still struggle every day."
1196,My mother is incredibly against me taking medication for my Schizophrenia.
1197,SO I want to get off this medication that is stabilizing me very well..
1198,"He admitted himself to a hospital for 5 days, during which time the doctor pulled him off all the medications because they suspected it may make him worse."
1199,"Right now we are taking a more cautious approach to his medication plan, slowly putting him on an atypical antipsychotic to try to get his severe intrusive thoughts and the hallucinations under control."
1200,"My psychiatrist said it's by taking my meds, and maybe that's right."
1201,If they're gone because of the medication they won't be suffering anymore.
1202,"Also, meds deal with negative symptoms too, right?"
1203,"He has been off meds for about a month or so and he has gained energy, lost weight, and his negative symptoms are improving too-he's more talkative than before."
1204,"It's odd he is doing so well, I was nervous when he told me he was going to stop taking meds."
1205,He was doing really well managing his schizophrenia with medication but then it seemed like he started changing.
1206,I just recently found out that he stopped taking his medication and believes he is cured but that God talks to him.
1207,"While they are changing my boyfriend's medications while he is in the hospital, should I ask him to ask if he has Schizo-Bi Polar?"
1208,"Now to my actual question--I hear voices, a lot, even though I'm on anti-psychotic medication."
1209,"The book tells the story of how he fell in-love on a psychiatric ward, whilst detailing the horrors of medication addiction and severe mental illness."
1210,"I'm of course going to stay on my meds, call my psychiatrist, pharmacy, everyone tomorrow to ensure I get more of my meds before the weekend."
1211,"If he has undiagnosed mental illness and is not getting proper treatment, is not on medications, and is self medicating (with alcohol, drugs, etc) then is this just a disaster waiting to happen?"
1212,My doctor talked to me about some new researches (in Canada I think) that show that certain alzheimer's medication can improve the concentration.
1213,I might start to take the medication and will update you guys with it
1214,I'm scared it is going to get worse and if I dont get put on some sort of medication I am going to start seeing full on hallucinations every day.
1215,I refuse to be put in a hospital or on meds.
1216,Now it helps me to be comfortable in my mind (i do not recommend it as medication esp.
1217,I remained without medication for about 8 months since the diagnosis was made.
1218,"I was taking the highest dose possible of a typical anti-psychotic called Clopixol - it was horrible, caused high lethargy, tiredness, and lots of secondary negative symptoms (basically, negative symptoms being indirectly caused by medication, due to tiredness, etc)."
1219,"I'm much happier now than during the previous years, and my mental capacity went up as I started taking meds (I feared that it would drop and I would degenerate mentally) - this showed itself in the grades - I'm among the top of my class."
